,Round,Team,Year
0,6,Lehigh,85
1,6,Iona,85
2,6,Old Dominion,85
3,6,Virginia Tech,85
4,6,North Carolina A&T,85
5,6,Iowa State,85
6,6,Pittsburgh,85
7,6,Southern California,85
8,6,Middle Tennessee State,85
9,6,Ohio,85
10,6,Oregon State,85
11,6,Purdue,85
12,6,Southern,85
13,6,San Diego State,85
14,6,Iowa,85
15,6,Washington,85
16,6,Mercer,85
17,6,Northeastern,85
18,6,Wichita State,85
19,6,DePaul,85
20,6,Pennsylvania,85
21,6,Pepperdine,85
22,6,Michigan State,85
23,6,Texas Tech,85
24,6,Fairleigh Dickinson,85
25,6,"Miami, Ohio",85
26,6,Dayton,85
27,6,Louisiana State,85
28,6,Marshall,85
29,6,Nevada,85
30,6,Arizona,85
31,6,Tulsa,85
32,5,Temple,85
33,5,Southern Methodist,85
34,5,Illinois State,85
35,5,Ohio State,85
36,5,Notre Dame,85
37,5,Kansas,85
38,5,Arkansas,85
39,5,Nevada-Las Vegas,85
40,5,Syracuse,85
41,5,Georgia,85
42,5,UAB,85
43,5,Duke,85
44,5,Navy,85
45,5,Michigan,85
46,5,Texas-El Paso,85
47,5,Virginia Commonwealth,85
48,4,"Loyola, Illinois",85
49,4,Illinois,85
50,4,Louisiana Tech,85
51,4,Boston College,85
52,4,Auburn,85
53,4,Maryland,85
54,4,Kentucky,85
55,4,Alabama,85
56,3,Georgia Tech,85
57,3,Oklahoma,85
58,3,North Carolina,85
59,3,North Carolina State,85
60,2,"St. John's, New York",85
61,2,Memphis,85
62,1,Georgetown,85
63,0,Villanova,85
64,6,Mississippi Valley,86
65,6,Northeastern,86
66,6,West Virginia,86
67,6,Virginia,86
68,6,North Carolina A&T,86
69,6,Texas Tech,86
70,6,Washington,86
71,6,Jacksonville,86
72,6,Marist,86
73,6,Ball State,86
74,6,Virginia Tech,86
75,6,Purdue,86
76,6,Drexel,86
77,6,Utah,86
78,6,Missouri,86
79,6,Texas-El Paso,86
80,6,Brown,86
81,6,Richmond,86
82,6,Tulsa,86
83,6,Indiana,86
84,6,Akron,86
85,6,Iowa,86
86,6,"Miami, Ohio",86
87,6,Notre Dame,86
88,6,Davidson,86
89,6,Fairfield,86
90,6,"Xavier, Ohio",86
91,6,Nebraska,86
92,6,Montana State,86
93,6,Louisiana-Monroe,86
94,6,Pepperdine,86
95,6,Arizona,86
96,5,Old Dominion,86
97,5,Oklahoma,86
98,5,Temple,86
99,5,Georgetown,86
100,5,Villanova,86
101,5,Memphis,86
102,5,Bradley,86
103,5,UAB,86
104,5,Syracuse,86
105,5,"St. Joseph's, Pennsylvania",86
106,5,Arkansas-Little Rock,86
107,5,Michigan,86
108,5,Western Kentucky,86
109,5,Illinois,86
110,5,Maryland,86
111,5,"St. John's, New York",86
112,4,Alabama,86
113,4,Georgia Tech,86
114,4,North Carolina,86
115,4,Nevada-Las Vegas,86
116,4,DePaul,86
117,4,Cleveland State,86
118,4,Michigan State,86
119,4,Iowa State,86
120,3,Kentucky,86
121,3,Auburn,86
122,3,Navy,86
123,3,North Carolina State,86
124,2,Kansas,86
125,2,Louisiana State,86
126,1,Duke,86
127,0,Louisville,86
128,6,Pennsylvania,87
129,6,Marshall,87
130,6,Middle Tennessee State,87
131,6,Navy,87
132,6,Fairfield,87
133,6,Texas A&M,87
134,6,San Diego,87
135,6,Missouri,87
136,6,North Carolina A&T,87
137,6,UAB,87
138,6,Brigham Young,87
139,6,Illinois,87
140,6,Idaho State,87
141,6,Central Michigan,87
142,6,Georgia,87
143,6,Virginia,87
144,6,Georgia Southern,87
145,6,Northeastern,87
146,6,North Carolina State,87
147,6,West Virginia,87
148,6,Southern,87
149,6,Louisiana Tech,87
150,6,Wichita State,87
151,6,Georgia Tech,87
152,6,Bucknell,87
153,6,Houston,87
154,6,Kentucky,87
155,6,Clemson,87
156,6,Santa Clara,87
157,6,Marist,87
158,6,Tulsa,87
159,6,Arizona,87
160,5,Michigan,87
161,5,Texas Christian,87
162,5,Auburn,87
163,5,"Xavier, Ohio",87
164,5,New Orleans,87
165,5,Austin Peay,87
166,5,Kansas State,87
167,5,UCLA,87
168,5,Western Kentucky,87
169,5,Purdue,87
170,5,"St. John's, New York",87
171,5,Temple,87
172,5,Ohio State,87
173,5,Missouri State,87
174,5,Texas-El Paso,87
175,5,Pittsburgh,87
176,4,Notre Dame,87
177,4,Florida,87
178,4,Kansas,87
179,4,Alabama,87
180,4,Duke,87
181,4,DePaul,87
182,4,Wyoming,87
183,4,Oklahoma,87
